Crime Type
HOMICIDE
SEXUAL ASSAULT
ROBBERY
PUBLIC PEACE VIOLATION
BATTERY
RITUALISM
ASSAULT
STALKING
BURGLARY
THEFT
MOTOR VEHICLE THEFT
HUMAN TRAFFICKING
ARSON
GAMBLING
DECEPTIVE PRACTICE
CRIMINAL DAMAGE
CRIMINAL TRESPASS
WEAPONS VIOLATION
CONCEALED CARRY LICENSE VIOLATION
NON-CRIMINAL
PROSTITUTION
OBSCENITY
PUBLIC INDECENCY
OFFENSE INVOLVING CHILDREN
OBSCENITY
SEX OFFENSE
OFFENSE INVOLVING CHILDREN
OTHER OFFENSE
GAMBLING
KIDNAPPING
OTHER NARCOTIC VIOLATION
NARCOTICS
LIQUOR LAW VIOLATION
CRIMINAL ABORTION
PUBLIC PEACE VIOLATION
WEAPONS VIOLATION
OTHER OFFENSE
INTERFERENCE WITH PUBLIC OFFICER
INTIMIDATION
